"","Grid Size","Value","Analysis"
"650","5350","8","Median"
"651","5375","8.105","Mean"
"652","5375","7","Mode"
"653","5375","8","Median"
"654","5400","8.085","Mean"
"655","5400","7","Mode"
"656","5400","8","Median"
"657","5425","8.257","Mean"
"658","5425","9","Mode"
"659","5425","8","Median"
"660","5450","8.111","Mean"
"661","5450","7","Mode"
"662","5450","8","Mode"
"663","5450","8","Median"
"664","5475","8.14","Mean"
"665","5475","8","Mode"
"666","5475","9","Mode"
"667","5475","8","Median"
"668","5500","8.269","Mean"
"669","5500","8","Mode"
"670","5500","8","Median"
"671","5525","8.284","Mean"
"672","5525","8","Mode"
"673","5525","8","Median"
"674","5550","8.134","Mean"
"675","5550","8","Mode"
"676","5550","8","Median"
"677","5575","8.31","Mean"
"678","5575","8","Mode"
"679","5575","8","Median"
"680","5600","8.198","Mean"
"681","5600","8","Mode"
"682","5600","8","Median"
"683","5625","8.097","Mean"
"684","5625","8","Mode"
"685","5625","8","Median"
"686","5650","8.069","Mean"
"687","5650","8","Mode"
"688","5650","8","Median"
"689","5675","8.326","Mean"
"690","5675","8","Mode"
"691","5675","8","Median"
"692","5700","8.252","Mean"
"693","5700","8","Mode"
"694","5700","8","Median"
"695","5725","8.17","Mean"
"696","5725","9","Mode"
"697","5725","8","Median"
"698","5750","8.133","Mean"
"699","5750","7","Mode"
"700","5750","8","Median"
"701","5775","8.334","Mean"
"702","5775","7","Mode"
"703","5775","8","Median"
"704","5800","8.258","Mean"
"705","5800","7","Mode"
"706","5800","8","Mode"
"707","5800","8","Median"
"708","5825","8.373","Mean"
"709","5825","9","Mode"
"710","5825","8","Median"
"711","5850","8.336","Mean"
"712","5850","7","Mode"
"713","5850","8","Median"
"714","5875","8.218","Mean"
"715","5875","7","Mode"
"716","5875","8","Median"
"717","5900","8.276","Mean"
"718","5900","7","Mode"
"719","5900","8","Median"
"720","5925","8.318","Mean"
"721","5925","8","Mode"
"722","5925","8","Median"
"723","5950","8.343","Mean"
"724","5950","8","Mode"
"725","5950","8","Median"
"726","5975","8.22","Mean"
"727","5975","7","Mode"
"728","5975","8","Median"
"729","6000","8.229","Mean"
"730","6000","8","Mode"
"731","6000","8","Median"
"732","6025","8.407","Mean"
"733","6025","8","Mode"
"734","6025","8","Median"
"735","6050","8.32","Mean"
"736","6050","8","Mode"
"737","6050","8","Median"
"738","6075","8.381","Mean"
"739","6075","7","Mode"
"740","6075","8","Median"
"741","6100","8.374","Mean"
"742","6100","9","Mode"
"743","6100","8","Median"
"744","6125","8.414","Mean"
"745","6125","8","Mode"
"746","6125","8","Median"
"747","6150","8.415","Mean"
"748","6150","8","Mode"
"749","6150","8","Median"
"750","6175","8.273","Mean"
"751","6175","8","Mode"
"752","6175","8","Median"
"753","6200","8.287","Mean"
"754","6200","7","Mode"
"755","6200","8","Median"
"756","6225","8.397","Mean"
"757","6225","9","Mode"
"758","6225","8","Median"
"759","6250","8.253","Mean"
"760","6250","7","Mode"
"761","6250","8","Median"
"762","6275","8.35","Mean"
"763","6275","8","Mode"
"764","6275","8","Median"
"765","6300","8.309","Mean"
"766","6300","8","Mode"
"767","6300","8","Median"
"768","6325","8.469","Mean"
"769","6325","7","Mode"
"770","6325","8","Median"
"771","6350","8.438","Mean"
"772","6350","8","Mode"
"773","6350","8","Median"
"774","6375","8.399","Mean"
"775","6375","7","Mode"
"776","6375","8","Mode"
"777","6375","8","Median"
"778","6400","8.452","Mean"
"779","6400","8","Mode"
"780","6400","8","Median"
"781","6425","8.423","Mean"
"782","6425","8","Mode"
"783","6425","8","Median"
"784","6450","8.338","Mean"
"785","6450","8","Mode"
"786","6450","8","Median"
"787","6475","8.52","Mean"
"788","6475","8","Mode"
"789","6475","8","Median"
"790","6500","8.241","Mean"
"791","6500","8","Mode"
"792","6500","8","Median"
"793","6525","8.353","Mean"
"794","6525","8","Mode"
"795","6525","8","Median"
"796","6550","8.298","Mean"
"797","6550","8","Mode"
"798","6550","8","Median"
"799","6575","8.488","Mean"
"800","6575","9","Mode"
"801","6575","8","Median"
"802","6600","8.376","Mean"
"803","6600","8","Mode"
"804","6600","8","Median"
"805","6625","8.459","Mean"
"806","6625","8","Mode"
"807","6625","8","Median"
"808","6650","8.39","Mean"
"809","6650","8","Mode"
"810","6650","8","Median"
"811","6675","8.295","Mean"
"812","6675","9","Mode"
"813","6675","8","Median"
"814","6700","8.365","Mean"
"815","6700","8","Mode"
"816","6700","8","Median"
"817","6725","8.301","Mean"
"818","6725","8","Mode"
"819","6725","8","Median"
"820","6750","8.38","Mean"
"821","6750","8","Mode"
"822","6750","8","Median"
"823","6775","8.472","Mean"
"824","6775","8","Mode"
"825","6775","8","Median"
"826","6800","8.36","Mean"
"827","6800","8","Mode"
"828","6800","8","Median"
"829","6825","8.36","Mean"
"830","6825","8","Mode"
"831","6825","8","Median"
"832","6850","8.535","Mean"
"833","6850","8","Mode"
"834","6850","8","Median"
"835","6875","8.401","Mean"
"836","6875","8","Mode"
"837","6875","8","Median"
"838","6900","8.447","Mean"
"839","6900","8","Mode"
"840","6900","8","Median"
"841","6925","8.319","Mean"
"842","6925","8","Mode"
"843","6925","8","Median"
"844","6950","8.553","Mean"
"845","6950","8","Mode"
"846","6950","8","Median"
"847","6975","8.339","Mean"
"848","6975","9","Mode"
"849","6975","8","Median"
"850","7000","8.316","Mean"
"851","7000","7","Mode"
"852","7000","8","Median"
"853","7025","8.444","Mean"
"854","7025","8","Mode"
"855","7025","8","Median"
"856","7050","8.548","Mean"
"857","7050","8","Mode"
"858","7050","8","Median"
"859","7075","8.51","Mean"
"860","7075","8","Mode"
"861","7075","8","Median"
"862","7100","8.365","Mean"
"863","7100","7","Mode"
"864","7100","8","Median"
"865","7125","8.529","Mean"
"866","7125","8","Mode"
"867","7125","8","Median"
"868","7150","8.396","Mean"
"869","7150","8","Mode"
"870","7150","8","Median"
"871","7175","8.501","Mean"
"872","7175","8","Mode"
"873","7175","8","Median"
"874","7200","8.301","Mean"
"875","7200","8","Mode"
"876","7200","8","Median"
"877","7225","8.29","Mean"
"878","7225","8","Mode"
"879","7225","8","Median"
"880","7250","8.33","Mean"
"881","7250","7","Mode"
"882","7250","8","Median"
"883","7275","8.538","Mean"
"884","7275","9","Mode"
"885","7275","8","Median"
"886","7300","8.471","Mean"
"887","7300","7","Mode"
"888","7300","8","Median"
"889","7325","8.491","Mean"
"890","7325","8","Mode"
"891","7325","8","Median"
"892","7350","8.456","Mean"
"893","7350","7","Mode"
"894","7350","8","Median"
"895","7375","8.553","Mean"
"896","7375","7","Mode"
"897","7375","8","Median"
"898","7400","8.338","Mean"
"899","7400","9","Mode"
"900","7400","8","Median"
"901","7425","8.565","Mean"
"902","7425","8","Mode"
"903","7425","8","Median"
"904","7450","8.329","Mean"
"905","7450","8","Mode"
"906","7450","8","Median"
"907","7475","8.447","Mean"
"908","7475","9","Mode"
"909","7475","8","Median"
"910","7500","8.623","Mean"
"911","7500","9","Mode"
"912","7500","9","Median"
"913","7525","8.545","Mean"
"914","7525","8","Mode"
"915","7525","8","Median"
"916","7550","8.492","Mean"
"917","7550","8","Mode"
"918","7550","9","Mode"
"919","7550","8","Median"
"920","7575","8.371","Mean"
"921","7575","8","Mode"
"922","7575","8","Median"
"923","7600","8.403","Mean"
"924","7600","8","Mode"
"925","7600","8","Median"
"926","7625","8.5","Mean"
"927","7625","8","Mode"
"928","7625","8","Median"
"929","7650","8.397","Mean"
"930","7650","8","Mode"
"931","7650","8","Median"
"932","7675","8.519","Mean"
"933","7675","9","Mode"
"934","7675","8","Median"
"935","7700","8.543","Mean"
"936","7700","8","Mode"
"937","7700","8","Median"
"938","7725","8.488","Mean"
"939","7725","9","Mode"
"940","7725","8","Median"
"941","7750","8.551","Mean"
"942","7750","8","Mode"
"943","7750","8","Median"
"944","7775","8.557","Mean"
"945","7775","9","Mode"
"946","7775","8","Median"
"947","7800","8.598","Mean"
"948","7800","8","Mode"
"949","7800","9","Mode"
"950","7800","9","Median"
"951","7825","8.497","Mean"
"952","7825","8","Mode"
"953","7825","8","Median"
"954","7850","8.45","Mean"
"955","7850","8","Mode"
"956","7850","8","Median"
"957","7875","8.636","Mean"
"958","7875","7","Mode"
"959","7875","8","Median"
"960","7900","8.585","Mean"
"961","7900","9","Mode"
"962","7900","8","Median"
"963","7925","8.487","Mean"
"964","7925","8","Mode"
"965","7925","8","Median"
"966","7950","8.455","Mean"
"967","7950","8","Mode"
"968","7950","8","Median"
"969","7975","8.458","Mean"
"970","7975","9","Mode"
"971","7975","8","Median"
"972","8000","8.51","Mean"
"973","8000","8","Mode"
"974","8000","8","Median"
"975","8025","8.569","Mean"
"976","8025","8","Mode"
"977","8025","8","Median"
"978","8050","8.708","Mean"
"979","8050","7","Mode"
"980","8050","9","Median"
"981","8075","8.377","Mean"
"982","8075","8","Mode"
"983","8075","8","Median"
"984","8100","8.638","Mean"
"985","8100","8","Mode"
"986","8100","8","Median"
"987","8125","8.536","Mean"
"988","8125","9","Mode"
"989","8125","8","Median"
"990","8150","8.676","Mean"
"991","8150","8","Mode"
"992","8150","8","Median"
"993","8175","8.477","Mean"
"994","8175","7","Mode"
"995","8175","8","Median"
"996","8200","8.494","Mean"
"997","8200","7","Mode"
"998","8200","9","Mode"
"999","8200","8","Median"
"1000","8225","8.494","Mean"
"1001","8225","8","Mode"
"1002","8225","8","Median"
"1003","8250","8.554","Mean"
"1004","8250","8","Mode"
"1005","8250","8","Median"
"1006","8275","8.738","Mean"
"1007","8275","7","Mode"
"1008","8275","9","Median"
"1009","8300","8.626","Mean"
"1010","8300","8","Mode"
"1011","8300","9","Median"
"1012","8325","8.683","Mean"
"1013","8325","8","Mode"
"1014","8325","9","Median"
"1015","8350","8.544","Mean"
"1016","8350","9","Mode"
"1017","8350","8","Median"
"1018","8375","8.65","Mean"
"1019","8375","7","Mode"
"1020","8375","9","Median"
"1021","8400","8.599","Mean"
"1022","8400","8","Mode"
"1023","8400","8","Median"
"1024","8425","8.573","Mean"
"1025","8425","9","Mode"
"1026","8425","9","Median"
"1027","8450","8.518","Mean"
"1028","8450","9","Mode"
"1029","8450","8","Median"
"1030","8475","8.589","Mean"
"1031","8475","7","Mode"
"1032","8475","8","Median"
"1033","8500","8.495","Mean"
"1034","8500","8","Mode"
"1035","8500","8","Median"
"1036","8525","8.725","Mean"
"1037","8525","7","Mode"
"1038","8525","9","Median"
"1039","8550","8.601","Mean"
"1040","8550","8","Mode"
"1041","8550","8","Median"
"1042","8575","8.689","Mean"
"1043","8575","8","Mode"
"1044","8575","9","Median"
"1045","8600","8.588","Mean"
"1046","8600","8","Mode"
"1047","8600","8","Median"
"1048","8625","8.717","Mean"
